City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,vorgashor,67.5833,63.95,-16.05,92,99,3.8,RU,1703026950
121,bagli,22.65,76.35,12.16,39,100,2.65,IN,1703026950
122,huarmey,-10.0681,-78.1522,22.44,82,41,4.7,PE,1703026951
123,santa elena de uairen,4.6167,-61.1333,24.46,66,100,1.8,VE,1703026951
124,geraldton,-28.7667,114.6,30.23,19,0,9.26,AU,1703026952
125,hayrabolu,41.2131,27.1069,6.09,76,0,0.8,TR,1703026952
126,qaqortoq,60.7167,-46.0333,2.79,100,100,4.02,GL,1703026952
127,kogalym,62.2654,74.4791,-12.91,96,99,5.2,RU,1703026952
128,choyr,46.3611,108.3611,-32.01,90,12,3.45,MN,1703026952
129,ridgecrest,35.6225,-117.6709,18.92,55,75,8.94,US,1703026665
130,reyes,-14.3167,-67.3833,32.98,58,40,0.0,BO,1703026953
131,ilulissat,69.2167,-51.1,-14.99,56,20,3.6,GL,1703026953
132,solleftea,63.1667,17.2667,1.92,69,69,7.59,SE,1703026953
133,la'ie,21.6477,-157.9253,25.98,76,100,10.32,US,1703026953
134,mananjary,-21.2167,48.3333,24.92,86,100,0.87,MG,1703026953
135,merizo village,13.2658,144.6691,28.88,80,18,8.31,GU,1703026953
136,kavaratti,10.5669,72.642,28.0,73,100,2.94,IN,1703026954
137,gardnerville ranchos,38.8882,-119.7413,8.83,76,75,1.54,US,1703026954
138,port mathurin,-19.6833,63.4167,26.4,82,100,7.41,MU,1703026954
139,rikaze,29.25,88.8833,-3.89,25,0,0.63,CN,1703026954
140,horta,38.5333,-28.6333,16.12,79,100,6.71,PT,1703026954
141,sajir,25.1825,44.5996,14.42,42,0,4.3,SA,1703026955
142,kourou,5.1552,-52.6478,28.03,89,28,3.61,GF,1703026955
143,palapag,12.5458,125.1147,25.57,90,87,2.79,PH,1703026955
144,nar'yan-mar,67.6713,53.087,-12.72,97,86,4.47,RU,1703026955
145,beira,-19.8436,34.8389,30.05,84,20,6.17,MZ,1703026955
146,gisborne,-38.6533,178.0042,23.3,61,3,3.38,NZ,1703026956
147,amungan,15.3652,119.9582,26.28,73,68,2.07,PH,1703026956
148,constantia,44.1833,28.65,3.38,75,0,4.22,RO,1703026752
149,jamestown,42.097,-79.2353,-0.23,93,100,2.06,US,1703026956
150,meizhou,24.2977,116.1072,6.91,73,96,2.31,CN,1703026956
151,khandyga,62.6667,135.6,-46.72,100,99,0.71,RU,1703026956
152,sitka,57.0531,-135.33,2.95,66,78,1.16,US,1703026956
153,fortuna,40.5982,-124.1573,16.63,81,40,7.72,US,1703026908
154,ribeira grande,38.5167,-28.7,16.54,79,100,6.71,PT,1703026956
155,qusmuryn,52.4503,64.6311,-15.73,99,83,2.24,KZ,1703026956
156,galliano,29.4422,-90.2992,12.78,58,0,2.57,US,1703026957
157,dongola,19.1667,30.4833,19.66,35,1,5.59,SD,1703026957
158,gulabpura,25.9,74.6667,12.75,29,87,1.96,IN,1703026957
159,daru,-9.0763,143.2092,24.91,94,100,1.88,PG,1703026957
160,mili,6.0815,171.735,27.23,84,100,13.76,MH,1703026957
161,uturoa,-16.7333,-151.4333,26.8,82,100,4.94,PF,1703026957
162,punta arenas,-53.15,-70.9167,16.06,59,75,6.69,CL,1703026827
163,kuala kangsar,4.7667,100.9333,23.96,98,69,0.99,MY,1703026958
164,karibib,-21.9333,15.8333,25.12,21,51,2.75,NA,1703026958
165,isafjordur,66.0755,-23.124,-7.22,77,100,4.08,IS,1703026958
166,antsiranana,-12.2787,49.2917,25.33,87,69,0.98,MG,1703026958
167,alaghsas,17.0187,8.0168,20.0,16,37,3.53,NE,1703026958
168,la passe,45.5549,-0.8967,10.55,96,100,5.92,FR,1703026958
169,papatowai,-46.5619,169.4708,15.37,96,100,1.55,NZ,1703026958
170,yeniseysk,58.4497,92.1703,-22.61,78,7,4.98,RU,1703026958
171,yegorlykskaya,46.5656,40.6562,5.76,92,100,4.63,RU,1703026958
172,rongelap,11.1635,166.8941,27.29,78,100,9.25,MH,1703026958
173,kuanda,56.3161,116.0806,-31.95,96,100,0.32,RU,1703026959
174,minas de marcona,-15.2119,-75.1103,18.18,73,18,6.3,PE,1703026959
175,bahau,2.8079,102.4049,22.73,98,87,1.09,MY,1703026959
176,hidalgo,20.5,-99.0,15.64,41,0,3.27,MX,1703026959
177,weno,7.4515,151.8468,27.89,72,77,9.11,FM,1703026959
178,hermanus,-34.4187,19.2345,14.89,82,1,3.12,ZA,1703026959
179,ahfir,34.9537,-2.1003,6.34,79,0,2.2,MA,1703026959
180,georgetown,5.4112,100.3354,25.96,89,20,2.57,MY,1703026671
181,skovorodino,53.9833,123.9167,-29.88,97,87,1.45,RU,1703026959
182,shache,38.4167,77.2406,-5.9,50,34,1.23,CN,1703026960
183,lobito,-12.3481,13.5456,26.29,86,100,3.37,AO,1703026960
184,el calafate,-50.3408,-72.2768,17.56,59,70,4.82,AR,1703026960
185,rosamond,34.8641,-118.1634,17.92,71,75,5.81,US,1703026809
186,kerikeri,-35.2268,173.9474,24.95,74,98,0.89,NZ,1703026960
187,le vauclin,14.5452,-60.8388,26.03,69,0,3.09,MQ,1703026960
188,marsala,37.7966,12.4352,12.18,73,46,2.01,IT,1703026960
189,alice springs,-23.7,133.8833,23.75,23,0,4.63,AU,1703026886
190,lakatoro,-16.0999,167.4164,28.68,76,51,2.13,VU,1703026961
191,brookings,44.3114,-96.7984,3.43,67,0,2.06,US,1703026796
192,vila velha,-20.3297,-40.2925,25.97,78,20,4.12,BR,1703026961
193,yenotayevka,47.2456,47.0281,3.31,94,100,5.73,RU,1703026961
194,flying fish cove,-10.4217,105.6791,20.82,94,28,0.0,CX,1703026961
195,pangody,65.85,74.4859,-11.81,93,99,7.0,RU,1703026961
196,thompson,55.7435,-97.8558,-19.91,77,20,2.06,CA,1703026843
197,skiathos,39.1623,23.4909,11.09,61,0,2.54,GR,1703026961
198,ambalangoda,6.2355,80.0538,25.14,88,99,1.12,LK,1703026961
199,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.83,PT,1703026962
200,dano,11.15,-3.0667,22.82,14,4,3.55,BF,1703026962
201,fort mcmurray,56.7268,-111.381,-10.23,79,100,5.66,CA,1703026962
202,anadyr,64.75,177.4833,-24.72,77,0,5.0,RU,1703026962
203,kaohsiung,22.6163,120.3133,15.97,94,75,6.17,TW,1703026962
204,kidal,18.4411,1.4078,14.24,18,4,7.11,ML,1703026962
205,betare oya,5.6,14.0833,23.27,35,33,1.41,CM,1703026962
206,hede,33.7681,120.2517,-2.33,62,4,4.92,CN,1703026962
207,camacupa,-12.0167,17.4833,17.63,93,100,0.52,AO,1703026962
208,fort st. john,56.2499,-120.8529,-6.06,86,100,5.14,CA,1703026853
209,al kharijah,25.4514,30.5464,14.91,53,85,2.93,EG,1703026963
210,driefontein,-27.0177,30.4498,16.57,97,98,0.5,ZA,1703026963
211,wahpeton,46.2652,-96.6059,-0.59,93,0,1.54,US,1703026963
212,yaren,-0.5472,166.916,28.32,80,96,4.59,NR,1703026963
